mz,time,FS__blank11_pos,FS__blank15_pos,FS__blank7_pos,FS_CalCurve_blank2_pos,FS_CalCurve_blank3_pos,FS__BaldegerseeA_pos,FS__BaldegerseeB_pos,FS__Greifensee072A_pos,FS__Greifensee072B_pos,FS__Greifensee082A_pos,FS__Greifensee082B_pos,FS__Greifensee092A_pos,FS__Greifensee092B_pos,FS_CalCurve_AnaA_05_pos,FS_CalCurve_calmix_00005_pos,FS_CalCurve_calmix_0001_pos,FS_CalCurve_calmix_0005_pos,FS_CalCurve_calmix_001_pos,FS_CalCurve_calmix_005_pos,FS_CalCurve_calmix_00625_pos,FS_CalCurve_calmix_0125_pos,FS_CalCurve_calmix_025_pos,FS_CalCurve_CyanoA_05_pos,FS_CalCurve_MC_05_pos,FS_CalCuve_calmix_0025_pos
818.4307606,514.0506284,NA,NA,NA,NA,NA,375776779,224971752.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818.4662907,734.6366364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841354.6802,2066818.827,NA,NA,96528.49704
818.5519641,1089.222682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113350.8336,NA,NA,700625.4859,NA,NA,NA,NA,NA,NA,NA,631396.5048,NA,NA,NA
819.4121241,548.1236147,NA,NA,NA,NA,NA,3207592.777,10557158.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
819.4347764,933.6519848,NA,NA,NA,NA,NA,NA,NA,182761.3759,NA,NA,NA,1411381.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
819.4338392,514.0506284,NA,NA,NA,NA,NA,79450710.68,48894194.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
819.4699436,734.7599814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77535.92286,NA,NA,NA,1453725.571,NA
819.5300229,1357.335568,NA,NA,135268.1018,NA,NA,NA,NA,NA,NA,NA,378366.9177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138817.7534,NA
819.5703357,1089.195066,NA,NA,NA,120991.9256,NA,309719.5874,NA,NA,NA,241265.2775,NA,NA,NA,823290.7274,NA,NA,NA,NA,NA,NA,213633.6499,573116.8723,NA,NA,NA
820.426527,520.757326,NA,NA,NA,NA,NA,13828083.58,9189521.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
